카테고리,Agent 평균,Freepass 평균,차이,t,p,Cohen's d,Agent N,Freepass N
메타인지 효과,4.416666666666667,4.217391304347826,0.1992753623188408,1.2576948684542497,0.2108098092465434,0.22483222116778517,60,69
시스템 만족도,4.716666666666667,4.536231884057971,0.18043478260869605,1.5484495300049743,0.12400248013389643,0.27887376936029906,60,69
개념 이해,4.45,4.333333333333333,0.11666666666666714,0.842358328682542,0.4011709403160413,0.15006351081036595,60,69
AI 상호작용 품질,4.425,4.434782608695652,-0.009782608695652506,-0.055880414174610815,0.9555697760377876,-0.012129209318607106,40,46
질문 능력,4.175,4.260869565217392,-0.08586956521739175,-0.4104915626621022,0.68249057744953,-0.08938233016370407,40,46
자기조절 학습,3.975,4.1521739130434785,-0.1771739130434784,-0.713204671176192,0.4776958650974962,-0.15509639272379577,40,46
