Category,gemini,anthropic,openai,3model_avg,ICC
A1_수학적 전문성,3.72 (±0.88),3.63 (±1.05),3.88 (±0.92),3.74 (±0.85),0.871
A2_질문 구조,4.64 (±0.77),4.34 (±1.19),4.64 (±0.84),4.54 (±0.81),0.799
A3_학습 맥락,1.31 (±0.52),1.36 (±0.65),1.48 (±0.66),1.38 (±0.52),0.775
B1_학습자 맞춤화,2.98 (±1.23),4.00 (±1.18),3.74 (±1.06),3.57 (±0.96),0.672
B2_설명 체계성,4.54 (±1.20),4.62 (±1.16),4.62 (±1.11),4.59 (±1.07),0.910
B3_학습 확장성,1.67 (±0.90),2.04 (±1.19),1.80 (±0.96),1.83 (±0.90),0.836
C1_대화 응집성,4.21 (±1.03),4.34 (±1.28),4.78 (±0.62),4.44 (±0.79),0.627
C2_학습 지원,1.71 (±0.91),2.80 (±1.20),1.97 (±0.97),2.16 (±0.82),0.538
